seed,average_precision,brier_score
7,0.9715882352941175,0.0014965000000000004
21,0.9629700137492068,0.0019816555555555557
42,0.9752809762202752,0.0019502944444444443
84,0.9857941176470588,0.001232388888888889
168,0.9573823529411765,0.0021407055555555557
